
> next-app@0.1.0 dev
> next dev

▲ Next.js 16.3.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.17.240.1:3000
- Environments: .env.local, .env
✓ Ready in 2.2s
✓ Running next.config.mjs took 51ms

 GET / 200 in 1062ms (next.js: 435ms, application-code: 627ms)
 GET /api/auth/me 200 in 596ms (next.js: 160ms, application-code: 437ms)
 GET /api/auth/me 200 in 20ms (next.js: 6ms, application-code: 15ms)
 GET /api/auth/me 200 in 26ms (next.js: 5ms, application-code: 21ms)
 POST /api/auth/register 403 in 81ms (next.js: 62ms, application-code: 20ms)
 POST /api/auth/register 400 in 30ms (next.js: 4ms, application-code: 25ms)
 GET /api/auth/me 200 in 23ms (next.js: 5ms, application-code: 17ms)
 GET /api/playlists 401 in 83ms (next.js: 67ms, application-code: 16ms)
 POST /api/auth/login 400 in 71ms (next.js: 59ms, application-code: 12ms)
 POST /api/auth/login 400 in 24ms (next.js: 7ms, application-code: 18ms)
 POST /api/auth/login 400 in 25ms (next.js: 5ms, application-code: 20ms)
 POST /api/auth/login 400 in 23ms (next.js: 5ms, application-code: 18ms)
 POST /api/auth/login 400 in 23ms (next.js: 4ms, application-code: 19ms)
 POST /api/auth/login 400 in 18ms (next.js: 4ms, application-code: 14ms)
 POST /api/auth/login 400 in 18ms (next.js: 4ms, application-code: 14ms)
 POST /api/auth/login 400 in 30ms (next.js: 4ms, application-code: 26ms)
 POST /api/auth/login 400 in 15ms (next.js: 5ms, application-code: 10ms)
 POST /api/auth/login 400 in 24ms (next.js: 5ms, application-code: 19ms)
 POST /api/auth/login 400 in 28ms (next.js: 5ms, application-code: 23ms)
 POST /api/auth/logout 200 in 72ms (next.js: 57ms, application-code: 14ms)
 GET /api/auth/me 200 in 20ms (next.js: 6ms, application-code: 14ms)
✓ Compiled in 1063ms
 GET / 200 in 100ms (next.js: 18ms, application-code: 82ms)
 GET /api/auth/me 200 in 28ms (next.js: 9ms, application-code: 19ms)
 POST /api/auth/login 400 in 27ms (next.js: 16ms, application-code: 11ms)
 GET / 200 in 820ms (next.js: 526ms, application-code: 295ms)
 GET / 200 in 267ms (next.js: 29ms, application-code: 238ms)
 GET / 200 in 387ms (next.js: 22ms, application-code: 364ms)
 GET / 200 in 271ms (next.js: 33ms, application-code: 238ms)
 GET / 200 in 414ms (next.js: 33ms, application-code: 380ms)
 GET / 200 in 288ms (next.js: 32ms, application-code: 255ms)
 GET / 200 in 335ms (next.js: 39ms, application-code: 296ms)
 GET / 200 in 295ms (next.js: 25ms, application-code: 271ms)
 GET / 200 in 332ms (next.js: 18ms, application-code: 313ms)
 GET / 200 in 340ms (next.js: 24ms, application-code: 317ms)
 GET / 200 in 341ms (next.js: 30ms, application-code: 311ms)
 GET / 200 in 362ms (next.js: 23ms, application-code: 339ms)
 GET / 200 in 322ms (next.js: 38ms, application-code: 284ms)
 GET / 200 in 227ms (next.js: 19ms, application-code: 208ms)
 GET / 200 in 222ms (next.js: 17ms, application-code: 205ms)
 GET / 200 in 219ms (next.js: 13ms, application-code: 206ms)
 GET / 200 in 217ms (next.js: 15ms, application-code: 201ms)
 GET / 200 in 250ms (next.js: 25ms, application-code: 225ms)
 GET / 200 in 228ms (next.js: 17ms, application-code: 211ms)
 GET / 200 in 229ms (next.js: 21ms, application-code: 208ms)
 GET / 200 in 235ms (next.js: 17ms, application-code: 217ms)
 GET / 200 in 248ms (next.js: 16ms, application-code: 232ms)
 GET / 200 in 190ms (next.js: 13ms, application-code: 177ms)
 GET / 200 in 251ms (next.js: 29ms, application-code: 222ms)
 GET / 200 in 217ms (next.js: 24ms, application-code: 192ms)
 GET / 200 in 123ms (next.js: 21ms, application-code: 102ms)
 POST /api/debug-echo 400 in 599ms (next.js: 572ms, application-code: 27ms)
 POST /api/debug-echo 200 in 26ms (next.js: 8ms, application-code: 18ms)
 POST /api/debug-echo 200 in 18ms (next.js: 7ms, application-code: 11ms)
 GET /api/auth/me 200 in 164ms (next.js: 86ms, application-code: 77ms)
 POST /api/auth/register 403 in 160ms (next.js: 109ms, application-code: 51ms)
 POST /api/auth/register 500 in 464ms (next.js: 8ms, application-code: 455ms)
 GET /api/auth/me 200 in 36ms (next.js: 10ms, application-code: 26ms)
 POST /api/playlists 401 in 108ms (next.js: 85ms, application-code: 23ms)
 GET /api/playlists 401 in 25ms (next.js: 7ms, application-code: 17ms)
 POST /api/auth/login 500 in 173ms (next.js: 84ms, application-code: 89ms)
 POST /api/auth/login 500 in 37ms (next.js: 11ms, application-code: 26ms)
 POST /api/auth/login 500 in 51ms (next.js: 12ms, application-code: 39ms)
 POST /api/auth/login 500 in 40ms (next.js: 8ms, application-code: 32ms)
 POST /api/auth/login 500 in 51ms (next.js: 14ms, application-code: 37ms)
 POST /api/auth/login 500 in 46ms (next.js: 8ms, application-code: 38ms)
 POST /api/auth/login 500 in 47ms (next.js: 11ms, application-code: 37ms)
 POST /api/auth/login 500 in 36ms (next.js: 10ms, application-code: 25ms)
 POST /api/auth/login 500 in 29ms (next.js: 7ms, application-code: 23ms)
 POST /api/auth/login 500 in 32ms (next.js: 7ms, application-code: 25ms)
 POST /api/auth/login 429 in 24ms (next.js: 7ms, application-code: 18ms)
 POST /api/auth/logout 200 in 100ms (next.js: 82ms, application-code: 18ms)
 GET /api/auth/me 200 in 24ms (next.js: 8ms, application-code: 16ms)
 GET / 200 in 314ms (next.js: 178ms, application-code: 136ms)
 GET / 200 in 60ms (next.js: 7ms, application-code: 53ms)
